code,name,current_price,box_bottom,box_top,box_height_pct,price_position_pct,box_length_weeks,top_touches,bottom_touches,vol_ratio,prior_decline_pct,score,start_date,end_date
300413,芒果超媒,27.33,20.72,27.45,32.5,98.2,16,3,5,1.79,26.3,142.9,2025-05-23,2025-09-05
300390,天华新能,21.45,16.97,21.99,29.5,89.2,15,2,7,2.08,26.2,140.7,2025-04-18,2025-07-25
600588,用友网络,14.65,12.21,15.05,23.3,85.9,16,5,3,1.28,38.9,139.2,2025-04-11,2025-07-25
603707,健友股份,14.32,11.59,14.57,25.7,91.7,16,5,3,1.66,25.1,139.2,2024-12-13,2025-03-28
002008,大族激光,30.76,22.47,30.94,37.7,97.9,16,1,7,1.58,21.6,138.8,2025-04-25,2025-08-08
301611,珂玛科技,58.2,49.53,58.5,18.1,96.7,16,5,3,1.78,17.1,138.6,2025-05-09,2025-08-22
600021,上海电力,22.28,16.56,22.36,35.0,98.6,16,4,3,1.63,30.4,138.1,2026-02-06,2026-05-29
601689,拓普集团,72.05,54.93,74.18,35.0,89.0,15,4,4,1.41,33.5,137.6,2026-02-06,2026-05-22
600862,中航高科,23.63,20.52,24.35,18.7,81.2,16,3,5,1.79,25.0,137.3,2025-09-19,2025-12-31
601136,首创证券,21.46,18.46,21.47,16.3,99.7,16,2,6,1.47,18.2,136.9,2025-05-09,2025-08-22
002475,立讯精密,58.18,44.57,60.29,35.3,86.6,16,7,2,1.39,30.0,136.9,2025-12-19,2026-04-10
000997,新大陆,24.81,19.48,24.88,27.7,98.7,12,2,5,1.99,33.0,136.7,2026-03-06,2026-05-22
000738,航发控制,23.33,18.39,24.14,31.3,85.9,16,1,8,2.39,13.8,136.3,2025-09-26,2026-01-09
601117,中国化学,9.34,7.32,9.42,28.7,96.2,15,1,7,2.11,8.6,135.8,2025-11-14,2026-02-27
000723,美锦能源,5.1,4.06,5.3,30.5,83.9,16,2,6,1.64,23.3,135.8,2024-11-29,2025-03-14
601162,天风证券,5.54,3.86,5.54,43.5,100.0,16,2,7,1.45,15.4,135.6,2025-04-30,2025-08-15
000617,中油资本,10.64,8.73,11.1,27.1,80.6,16,1,8,1.8,20.9,135.5,2025-12-05,2026-03-27
601696,中银证券,13.01,9.68,13.01,34.3,100.0,13,1,9,2.09,11.6,135.2,2025-04-18,2025-07-11
000932,华菱钢铁,4.59,3.24,4.6,41.9,99.3,14,5,2,1.58,31.6,135.2,2024-07-05,2024-09-30
300122,智飞生物,23.85,18.7,26.0,39.0,70.5,16,1,7,1.69,30.4,135.2,2025-04-18,2025-08-01
600498,烽火通信,22.11,19.4,22.78,17.4,80.2,16,3,5,1.32,31.7,135.0,2025-04-18,2025-08-01
002736,国信证券,10.45,8.88,10.51,18.4,96.5,16,10,1,1.28,20.6,135.0,2025-01-17,2025-04-30
601669,中国电建,7.19,5.14,7.19,39.9,100.0,16,1,6,2.65,12.1,134.9,2025-11-21,2026-03-13
301269,华大九天,108.55,80.09,108.74,35.8,99.3,15,2,4,1.89,31.8,134.9,2026-02-06,2026-05-22
301308,江波龙,96.41,69.96,96.46,37.9,99.8,16,2,4,1.59,35.3,134.9,2025-05-09,2025-08-22
000009,中国宝安,10.3,7.86,10.4,32.4,96.1,17,1,7,1.96,6.9,134.7,2025-05-16,2025-09-05
688563,航材股份,58.45,51.54,58.97,14.4,93.0,16,3,5,1.68,12.3,134.6,2025-09-19,2025-12-31
002432,九安医疗,40.42,35.47,40.71,14.8,94.5,16,5,4,1.47,16.0,134.5,2025-04-30,2025-08-15
600515,海南机场,3.78,3.28,3.89,18.6,82.0,15,8,1,1.85,19.4,134.4,2025-01-03,2025-04-11
600763,通策医疗,46.0,40.09,47.74,19.1,77.3,16,3,5,2.16,15.4,134.3,2025-10-17,2026-01-30
