code,name,current_price,box_bottom,box_top,box_height_pct,price_position_pct,box_length_weeks,top_touches,bottom_touches,vol_ratio,prior_decline_pct,score,start_date,end_date
600021,上海电力,22.28,16.56,22.36,35.0,98.6,16,4,3,1.63,30.4,138.1,2026-02-06,2026-05-29
601689,拓普集团,72.05,54.93,74.18,35.0,89.0,15,4,4,1.41,33.5,137.6,2026-02-06,2026-05-22
000997,新大陆,24.81,19.48,24.88,27.7,98.7,12,2,5,1.99,33.0,136.7,2026-03-06,2026-05-22
301269,华大九天,108.55,80.09,108.74,35.8,99.3,15,2,4,1.89,31.8,134.9,2026-02-06,2026-05-22
600900,长江电力,27.75,25.18,27.76,10.3,99.6,17,10,1,1.54,9.6,132.6,2026-01-30,2026-05-29
000887,中鼎股份,21.17,17.19,21.96,27.7,83.4,16,4,4,0.81,26.4,128.7,2026-02-06,2026-05-29
601988,中国银行,5.86,5.25,5.98,13.9,83.6,15,5,5,1.65,8.4,128.4,2026-02-13,2026-05-29
300024,机器人,16.27,14.13,16.86,19.3,78.4,11,4,4,1.66,24.0,127.3,2026-03-13,2026-05-22
002050,三花智控,54.05,41.14,55.02,33.7,93.0,16,3,3,1.28,28.4,127.1,2026-01-30,2026-05-22
600377,宁沪高速,12.89,11.47,12.93,12.7,97.3,19,1,7,1.12,13.7,126.4,2026-01-16,2026-05-29
000921,海信家电,24.66,21.03,25.18,19.7,87.5,18,5,3,0.97,20.7,126.3,2026-01-23,2026-05-29
688036,传音控股,60.2,50.07,65.15,30.1,67.1,18,3,5,1.21,28.8,125.8,2026-01-23,2026-05-29
601728,中国电信,6.33,5.59,6.42,14.8,89.2,17,2,6,0.8,18.6,125.7,2026-01-16,2026-05-15
000883,湖北能源,5.33,4.5,5.43,20.7,89.2,16,2,6,1.25,3.6,125.7,2026-02-06,2026-05-29
603290,斯达半导,131.75,96.0,135.0,40.6,91.7,16,2,5,1.24,13.7,125.3,2026-01-30,2026-05-22
688052,纳芯微,201.0,145.1,204.6,41.0,93.9,22,3,5,1.09,25.5,125.3,2025-12-05,2026-05-08
000027,深圳能源,8.08,6.56,8.48,29.3,79.2,16,2,7,1.4,6.4,125.3,2026-02-06,2026-05-29
600816,建元信托,3.09,2.48,3.35,35.1,70.1,16,2,5,1.68,17.3,124.7,2026-02-06,2026-05-29
601066,中信建投,24.39,20.9,25.2,20.6,81.2,18,4,3,1.37,22.5,124.1,2026-01-23,2026-05-29
601166,兴业银行,18.5,17.28,19.09,10.5,67.4,16,8,3,1.26,15.8,124.1,2026-02-06,2026-05-29
